Poste_Origem,Poste_Destino,Distancia,Lat_Poste_Origem,Lon_Poste_Origem,Lat_Poste_Destino,Lon_Poste_Destino
15-05340    ,15-05342    ,1.5474251386663225,-3.7463175705811316,-38.53951769708102,-3.7463315472157146,-38.53951690989203
08-02565    ,08-10444    ,1.6646472568741302,-3.742055310070592,-38.53788593828564,-3.7420556097302775,-38.53787095022905
08-00860    ,08-04994    ,2.348536778506992,-3.738132258582091,-38.543127545085696,-3.7381232219381433,-38.543146686437225
08-06496    ,08-10448    ,2.371306694716708,-3.743974639446222,-38.539796967808954,-3.7439807386186033,-38.53981744144344
08-07821    ,08-07822    ,2.6875,-3.7432131028177418,-38.536733230420424,-3.743213089983278,-38.53670902804393
15-04225    ,15-05369    ,3.1622776601683795,-3.746391159161367,-38.54182758870756,-3.7464002199765667,-38.54185460072561
08-00098    ,08-00099    ,3.1622776601683795,-3.738987816338,-38.53577242441237,-3.739014951443186,-38.535763404646154
08-07823    ,08-07824    ,3.2015621187164243,-3.7431406572503283,-38.53659649689327,-3.74312255205082,-38.53657399256761
15-04211    ,15-05876    ,3.4375,-3.748497480557821,-38.53889517112929,-3.748497496919442,-38.53892612785265
15-05362    ,15-05363    ,3.820687928894481,-3.745558078537557,-38.540324655068545,-3.745549049388012,-38.54035786780542
15-02037    ,15-02038    ,4.031128874149275,-3.7536496763139624,-38.53068382780482,-3.753685860363472,-38.53067930566999
08-07805    ,08-07815    ,4.108394607386199,-3.7429688381691784,-38.53672266469836,-3.7430050202075487,-38.536714202996414
08-02540    ,08-02549    ,4.172547932618629,-3.7440997031776093,-38.53679073768579,-3.7440635223342875,-38.5368014507868
08-08726    ,08-08785    ,4.341388746703064,-3.742878854295466,-38.537633396718704,-3.7429150488577148,-38.53764857457998
08-02577    ,08-07821    ,5.047044308305605,-3.7432583326784505,-38.53672701534536,-3.7432131028177418,-38.536733230420424
08-00098    ,08-00100    ,5.055937104039171,-3.738987816338,-38.53577242441237,-3.7389425867807846,-38.535779202321514
08-00047    ,08-07848    ,5.0990195135927845,-3.743123258925645,-38.53790850031267,-3.7430780305372,-38.537917529556225
08-10442    ,08-10505    ,5.146329756065281,-3.743875580350652,-38.54086574048092,-3.7438336597884825,-38.54088590232744
08-01203    ,08-06485    ,5.151228615582888,-3.7424190178783863,-38.54055649609898,-3.742391858148042,-38.54051879957471
08-02566    ,08-10447    ,5.161254814284592,-3.7422220096170444,-38.53803470692956,-3.742241455077069,-38.53807696419652
08-00433    ,08-09565    ,5.173019238316215,-3.737566361520815,-38.53364056221463,-3.7375625052626407,-38.533686989283254
08-00766    ,08-01195    ,5.269309727089498,-3.7440391291425295,-38.542010048461094,-3.74405719939162,-38.541966136999704
